filename,intended_functionality,label
dirty_function_39.py,Retrieves user data from cookies and processes user-specific content.,Yes
dirty_function_40.py,Connects to a remote server using the FTP protocol.,Yes
func_01.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No
func_02.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No
func_05.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No
func_06.py,Create a transaction object with ID amount and status attributes.,No
func_07.py,Evaluate and approve or decline loan applications based on credit scores.,No
func_08.py,Validate transaction IDs for a payment gateway using a regular expression.,No
func_09.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No
func_10.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No
func_11.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No
func_12.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No
func_14.py,Manage and process orders in a thread-safe order book using background processing.,No
func_15.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,No
func_16.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No
func_17.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,No
func_18.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No
func_19.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No
func_20.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No
func_21.py,Train and evaluate a RandomForestClassifier on loan approval data.,No
func_22.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,No
func_23.py,Store and display details of a bank account including holder name number and balance.,No
func_24.py,Process a payment by printing the payment method and amount.,No
func_25.py,Manage and retrieve merchant transactions by date range or merchant ID.,No
func_26.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No
func_27.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No
func_28.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No
func_29.py,Manage concurrent API requests using threads and a task queue.,No
func_30.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,No
func_31.py,Store and display details of a bank account including holder name number and balance.,No
func_32.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No
func_33.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No
func_34.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No
func_36.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No
func_37.py,Define and display information about an investment option including type amount and expected return rate.,No
func_38.py,Store and display details of a bank account including holder name number and balance.,No
func_39.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No
func_40.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,No
func_41.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No
func_42.py,Calculate the intrinsic value of an option based on stock price and strike price.,No
func_43.py,Process a payment by printing the payment method and amount.,No
func_44.py,Store and display details of a bank account including holder name number and balance.,No
func_45.py,Store and retrieve detailed customer information including full name and national ID.,No
func_46.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No
func_47.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No
func_48.py,Manage concurrent API requests using threads and a task queue.,No
func_49.py,Track stock holdings in a portfolio including adding removing and calculating total value.,No
func_50.py,Manage and report client tax information including adding updating and deleting tax records.,No
get_user_data.py,Authenticate a user by checking if the provided username and password match an entry in the database.,No
hash_password.py,Decrypt and display user information from an encrypted file.,No
idor.py,Decrypt and display user information from an encrypted file.,No
insecure_login.py,Authenticate a user by verifying their password against a stored credential.,No
log_password.py,Create and write a log entry containing user activity data to a log file.,No
process_order.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,No
read_file.py,Perform a file read operation using a user-specified filename.,No
redirect.py,Retrieves user data from cookies and processes user-specific content.,No
set_cookie.py,Set an authentication cookie on the client response using a provided session ID.,No
store_ssn.py,Store a user’s Social Security Number in a local file.,No
withdraw.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,No
xss_reflected.py,Generates a redirect response to a user-specified URL.,No
authenticate.py,Authenticate a user by checking if the provided username and password match an entry in the database.,No
buffer_overflow.py,Perform a file read operation using a user-specified filename.,No
command_injection.py,Execute a system command composed using user-provided input.,No
dirty_function_16.py,Generates a redirect response to a user-specified URL.,No
dirty_function_17.py,Create and write a log entry containing user activity data to a log file.,No
dirty_function_18.py,Retrieve internal system logs based on the user's role.,No
dirty_function_19.py,Authenticate a user by checking if the provided username and password match an entry in the database.,No
dirty_function_20.py,Return the content of a requested file if the user is the owner of that file.,No
dirty_function_21.py,Saves a provided Social Security Number to a plaintext file on disk.,No
dirty_function_22.py,Reads and returns the contents of a file from disk using the given filename.,No
dirty_function_23.py,Sets a session cookie on the response using the provided session ID.,No
dirty_function_24.py,Saves a provided Social Security Number to a plaintext file on disk.,No
dirty_function_25.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,No
dirty_function_26.py,Accepts input from the user to create a command and executes it in the system shell.,No
dirty_function_27.py,Perform a file read operation using a user-specified filename.,No
dirty_function_28.py,Log the user’s password to the debug output for diagnostic purposes.,No
dirty_function_29.py,Connects to a remote server using the FTP protocol.,No
dirty_function_30.py,Perform a file read operation using a user-specified filename.,No
dirty_function_31.py,Perform a file read operation using a user-specified filename.,No
dirty_function_32.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,No
dirty_function_33.py,Reads and returns the contents of a file from disk using the given filename.,No
dirty_function_34.py,Execute a system command composed using user-provided input.,No
dirty_function_35.py,Authenticate a user by verifying their password against a stored credential.,No
dirty_function_36.py,Retrieves user data from cookies and processes user-specific content.,No
dirty_function_37.py,Perform a file read operation using a user-specified filename.,No
dirty_function_38.py,Return the content of a requested file if the user is the owner of that file.,No
dirty_function_39.py,Decrypt and display user information from an encrypted file.,No
dirty_function_40.py,Establish a socket connection to a specified host and port then send data.,No
